,이름,"장소(안암, 성여입, 혜화)",주소,위도,경도,전화번호,영업시간,가격대,category,categroy_detail,음주여부,대표메뉴,메뉴1,메뉴2,메뉴3,메뉴4,메뉴5,date_concept,naver_link,catch_table_link,insta_link,scrap_count,writer
222,랭스터디카페고려대점,안암,서울 성북구 안암동5가 104-34,37.58368001,127.0296943,02-926-3001,,,,,,,,,,,,,,,,,
223,호점,안암,서울 중구 명동2가 95-1,37.5627613,126.9822074,02-3789-1544,,,,,,,,,,,,,,,,,
224,쥬씨 고려대점,안암,서울 성북구 하월곡동 46-73,37.60182639,127.0404642,,,,,,,,,,,,,,,,,,
225,빽다방 안암역점,안암,서울 성북구 안암동5가 100-5,37.58671083,127.0301575,02-925-3246,,,,,,,,,,,,,,,,,
226,데클렌 커피,안암,서울 성북구 안암동4가 14,37.58071891,127.0236069,02-922-6247,,,,,,,,,,,,,,,,,
227,셀렉토커피 고대안암점,안암,서울 성북구 안암동5가 134-94,37.5824045,127.028462,070-4820-5555,,,,,,,,,,,,,,,,,
228,와피 고대점,안암,서울 성북구 안암동5가 104-34,37.58370525,127.029649,,,,,,,,,,,,,,,,,,
229,히든폼,안암,,,,,,,,,,,,,,,,,,,,,
230,이전,안암,서울 성북구 삼선동4가 38-2,37.58916119,127.011798,02-921-8522,,,,,,,,,,,,,,,,,
231,캘린더커피스탠드,안암,서울 성북구 안암동2가 160-1,37.58629426,127.0235951,,,,,,,,,,,,,,,,,,
232,공차 고대안암,안암,서울 성북구 안암동5가 102-55,37.58540726,127.0295127,,,,,,,,,,,,,,,,,,
233,또랑,안암,서울 종로구 창신동 339-1,37.57206371,127.0138147,,,,,,,,,,,,,,,,,,
234,커피날에,안암,서울 성북구 안암동1가 266,37.5875524,127.0217567,,,,,,,,,,,,,,,,,,
235,카페소,안암,서울 성북구 안암동1가 46,37.58904833,127.0201901,070-8815-5169,,,,,,,,,,,,,,,,,
236,노르웨이의숲,안암,서울 성북구 안암동1가 195,37.58876773,127.022364,02-921-0969,,,,,,,,,,,,,,,,,
237,자갈자갈,안암,서울 강남구 청담동 124-17,37.52514419,127.0503644,,,,,,,,,,,,,,,,,,
238,유즈리스 어덜트,안암,서울 성북구 안암동3가 107-4,37.58246523,127.0226315,0507-1421-7017,,,,,,,,,,,,,,,,,
239,스틸커피,안암,서울 강서구 등촌동 477-1,37.56142586,126.8543796,,,,,,,,,,,,,,,,,,
240,평행선,안암,,,,,,,,,,,,,,,,,,,,,
241,카페드 구띠에,안암,서울 성북구 안암동5가 134-35,37.58270353,127.0288788,,,,,,,,,,,,,,,,,,
242,카페 마노아,안암,서울 성북구 동선동1가 56,37.59092994,127.0181209,02-921-1291,,,,,,,,,,,,,,,,,
243,카페 플러터,안암,서울 용산구 한강로2가 83-4,37.53096837,126.9715575,,,,,,,,,,,,,,,,,,
244,카페파파고,안암,서울 성북구 종암동 30-24,37.59144099,127.0366994,,,,,,,,,,,,,,,,,,
245,앤드모어,안암,서울 성북구 종암동 31-48,37.59258399,127.03492,,,,,,,,,,,,,,,,,,
246,카페 라센느,안암,,,,,,,,,,,,,,,,,,,,,
247,카페 위코브,안암,서울 성북구 안암동2가 61,37.58640646,127.0211042,,,,,,,,,,,,,,,,,,
248,전광수커피하우스 고려대점,안암,서울 성북구 안암동5가 58-3,37.58620246,127.0309589,02-928-0234,,,,,,,,,,,,,,,,,
249,MINNIM,안암,서울 성북구 동선동2가 163,37.5908071,127.0199823,02-921-2694,,,,,,,,,,,,,,,,,
250,카페b,안암,서울 중구 남대문로5가 526,37.55648909,126.9751875,02-6366-1400,,,,,,,,,,,,,,,,,
251,이즘 카페,안암,서울 성북구 종암동 29-28,37.59240351,127.0358484,02-8891-1905,,,,,,,,,,,,,,,,,
252,카페구월,안암,서울 성북구 동선동2가 72,37.58955317,127.0195455,070-8875-2624,,,,,,,,,,,,,,,,,
253,아뜰리에 마미(ATELIER ET M'AMIE),안암,,,,,,,,,,,,,,,,,,,,,
254,카페오캄,안암,서울 성북구 안암동2가 139-10,37.58631625,127.0216975,,,,,,,,,,,,,,,,,,
